0,1,departure,destination,distance,weighted_distance,log
"('60085', '92024')",1,60085,92024,3265361.79358,3265361.79358,inf
"('92563', '92596')",2,92563,92596,11701.3658509,5850.68292545,16882.5024847
"('49503', '95020')",1,49503,95020,3989011.49989,3989011.49989,inf
"('64501', '64507')",1,64501,64507,9001.24137669,9001.24137669,inf
"('95121', '95148')",1,95121,95148,4043.63701562,4043.63701562,inf
"('30354', '30901')",1,30354,30901,270301.596707,270301.596707,inf
"('84095', '94545')",1,84095,94545,1137850.23509,1137850.23509,inf
"('92394', '92395')",2,92394,92395,7393.89399616,3696.94699808,10668.1342011
"('63026', '63126')",1,63026,63126,9159.87021755,9159.87021755,inf
"('68132', '98032')",1,68132,98032,2924131.01725,2924131.01725,inf
"('33417', '77503')",1,33417,77503,1671233.93279,1671233.93279,inf
"('27560', '96817')",1,27560,96817,8746599.87043,8746599.87043,inf
"('14580', '95404')",1,14580,95404,5027585.29659,5027585.29659,inf
"('30273', '30281')",1,30273,30281,8634.8910528,8634.8910528,inf
"('91746', '96744')",1,91746,96744,4532839.79782,4532839.79782,inf
"('60007', '72641')",1,60007,72641,582612.393213,582612.393213,inf
"('70068', '83642')",1,70068,83642,2888801.01501,2888801.01501,inf
"('60616', '98105')",1,60616,98105,3852844.61591,3852844.61591,inf
"('47406', '93033')",1,47406,93033,3624974.44322,3624974.44322,inf
"('51101', '51104')",1,51101,51104,1280.29499695,1280.29499695,inf
"('48507', '90301')",1,48507,90301,3844741.18943,3844741.18943,inf
"('60436', '93033')",1,60436,93033,3445258.9573,3445258.9573,inf
"('42501', '42553')",1,42501,42553,27449.9377285,27449.9377285,inf
"('17402', '37040')",1,17402,37040,1187810.32928,1187810.32928,inf
"('85716', '85726')",1,85716,85726,2888.12402364,2888.12402364,inf
"('90020', '91745')",1,90020,91745,37719.0518134,37719.0518134,inf
"('58401', '84043')",1,58401,84043,1467916.4895,1467916.4895,inf
"('29073', '84404')",1,29073,84404,3427667.42826,3427667.42826,inf
"('33762', '95252')",1,33762,95252,4233232.3945,4233232.3945,inf
"('33483', '78227')",1,33483,78227,2064048.5078,2064048.5078,inf
"('93103', '93109')",2,93103,93109,5631.97557977,2815.98778989,8126.22323934
"('10002', '10007')",1,10002,10007,2396.20055662,2396.20055662,inf
"('67401', '73025')",1,67401,73025,46448.4699384,46448.4699384,inf
"('33305', '33334')",1,33305,33334,1667.90993017,1667.90993017,inf
"('34741', '56073')",1,34741,56073,1436976.41993,1436976.41993,inf
"('27292', '27295')",1,27292,27295,11685.1447348,11685.1447348,inf
"('55117', '67301')",1,55117,67301,303083.989793,303083.989793,inf
"('65802', '85282')",1,65802,85282,2066779.54447,2066779.54447,inf
"('89510', '95125')",1,89510,95125,298764.106596,298764.106596,inf
"('87123', '89148')",1,87123,89148,982227.817476,982227.817476,inf
"('89509', '89510')",1,89509,89510,40186.3546894,40186.3546894,inf
"('22731', '38504')",1,22731,38504,719743.18362,719743.18362,inf
"('14901', '98052')",1,14901,98052,5040115.91317,5040115.91317,inf
"('79915', '94538')",1,79915,94538,1750752.95978,1750752.95978,inf
"('91505', '91792')",1,91505,91792,50066.9068437,50066.9068437,inf
"('10003', '93033')",1,10003,93033,5011219.70356,5011219.70356,inf
"('72442', '84651')",1,72442,84651,2393939.49179,2393939.49179,inf
"('53558', '53714')",1,53558,53714,4059.63165543,4059.63165543,inf
"('67206', '67207')",1,67206,67207,572.21651354,572.21651354,inf
"('80503', '90012')",1,80503,90012,1468428.50368,1468428.50368,inf
"('13820', '13902')",1,13820,13902,104214.628823,104214.628823,inf
"('38901', '38921')",1,38901,38921,37946.9798147,37946.9798147,inf
"('53556', '53588')",1,53556,53588,17708.1300881,17708.1300881,inf
"('84101', '84111')",1,84101,84111,1787.98964376,1787.98964376,inf
"('30354', '35209')",1,30354,35209,269610.306457,269610.306457,inf
"('50440', '55369')",1,50440,55369,43115.0975342,43115.0975342,inf
"('93536', '93725')",1,93536,93725,182357.023762,182357.023762,inf
"('19952', '47501')",1,19952,47501,1283774.1051,1283774.1051,inf
"('20784', '20785')",1,20784,20785,1357.5482721,1357.5482721,inf
"('43235', '53177')",1,43235,53177,545770.785607,545770.785607,inf
"('21221', '37774')",1,21221,37774,883183.530374,883183.530374,inf
"('15658', '85258')",1,15658,85258,3626610.84818,3626610.84818,inf
"('40213', '40218')",2,40213,40218,7239.23216093,3619.61608046,10445.0043384
"('98105', '98188')",1,98105,98188,12755.6212463,12755.6212463,inf
"('70816', '70817')",3,70816,70817,4621.12868309,1540.3762277,4207.33259864
"('55952', '85258')",1,55952,85258,2233359.13366,2233359.13366,inf
"('30542', '93230')",1,30542,93230,3970770.57652,3970770.57652,inf
"('86301', '98230')",1,86301,98230,1353638.15647,1353638.15647,inf
"('65548', '65571')",1,65548,65571,9980.26611893,9980.26611893,inf
"('45001', '90059')",1,45001,90059,3727133.1932,3727133.1932,inf
"('55416', '96782')",1,55416,96782,7214851.90596,7214851.90596,inf
"('31636', '72206')",1,31636,72206,1014061.1103,1014061.1103,inf
"('63021', '63141')",1,63021,63141,9729.26748864,9729.26748864,inf
"('60189', '89883')",1,60189,89883,2895003.36622,2895003.36622,inf
"('30047', '30354')",1,30047,30354,30591.7393858,30591.7393858,inf
"('70607', '90058')",1,70607,90058,2783742.82679,2783742.82679,inf
"('33417', '43085')",1,33417,43085,386254.943873,386254.943873,inf
"('30401', '30518')",2,30401,30518,187306.571523,93653.2857614,270227.261862
"('33909', '33990')",2,33909,33990,1016.81477507,508.407387537,1467.9536335
"('41048', '84037')",1,41048,84037,3029190.69632,3029190.69632,inf
"('44890', '44901')",1,44890,44901,22758.0616742,22758.0616742,inf
"('77045', '77053')",1,77045,77053,3140.46682278,3140.46682278,inf
"('75070', '85258')",2,75070,85258,1690141.51764,845070.75882,2438359.7859
"('74133', '85258')",1,74133,85258,1781991.18776,1781991.18776,inf
"('85013', '85014')",1,85013,85014,3013.15188017,3013.15188017,inf
"('27214', '80030')",1,27214,80030,2819224.48156,2819224.48156,inf
"('48041', '71201')",1,48041,71201,1030722.85077,1030722.85077,inf
"('43228', '44125')",1,43228,44125,169880.60438,169880.60438,inf
"('54451', '84043')",1,54451,84043,2387420.27584,2387420.27584,inf
"('43725', '55442')",1,43725,55442,1315166.06799,1315166.06799,inf
"('31088', '31093')",1,31088,31093,1137.84993617,1137.84993617,inf
"('32134', '40213')",1,32134,40213,443164.813089,443164.813089,inf
"('33312', '85326')",1,33312,85326,3597529.48777,3597529.48777,inf
"('78577', '95816')",1,78577,95816,2616166.57038,2616166.57038,inf
"('38901', '39702')",2,38901,39702,162145.059197,81072.5295984,233926.872808
"('32304', '90301')",1,32304,90301,3780254.38373,3780254.38373,inf
"('19146', '33149')",1,19146,33149,644940.744775,644940.744775,inf
"('14525', '28031')",1,14525,28031,353984.99552,353984.99552,inf
"('21046', '40241')",1,21046,40241,971224.343775,971224.343775,inf
"('35979', '48116')",1,35979,48116,217457.352652,217457.352652,inf
"('46012', '47408')",1,46012,47408,94510.5093132,94510.5093132,inf
"('96915', '96928')",1,96915,96928,4601.5192226,4601.5192226,inf
"('22812', '90058')",1,22812,90058,4355011.70496,4355011.70496,inf
"('27910', '90301')",1,27910,90301,4598775.57434,4598775.57434,inf
"('89101', '89106')",1,89101,89106,4579.14857712,4579.14857712,inf
"('44143', '46582')",1,44143,46582,486758.596165,486758.596165,inf
"('34638', '65201')",1,34638,65201,1078139.39394,1078139.39394,inf
"('77382', '89431')",1,77382,89431,2700898.58604,2700898.58604,inf
"('91007', '96007')",1,91007,96007,587923.591579,587923.591579,inf
"('20715', '20721')",1,20715,20721,5223.43799045,5223.43799045,inf
"('91745', '92656')",1,91745,92656,34715.215959,34715.215959,inf
"('85710', '85747')",1,85710,85747,8008.53627688,8008.53627688,inf
"('44142', '91710')",1,44142,91710,3980403.68429,3980403.68429,inf
"('38556', '90064')",1,38556,90064,3725128.18019,3725128.18019,inf
"('86301', '86305')",2,86301,86305,54977.0318146,27488.5159073,79316.0911618
"('95050', '98032')",1,95050,98032,593793.96407,593793.96407,inf
"('11205', '11219')",1,11205,11219,3877.67610602,3877.67610602,inf
"('61614', '61615')",1,61614,61615,9191.16171119,9191.16171119,inf
"('37076', '43085')",1,37076,43085,397982.974464,397982.974464,inf
"('94010', '94952')",2,94010,94952,59209.320362,29604.660181,85421.9928607
"('89014', '98203')",1,89014,98203,1015156.28049,1015156.28049,inf
"('33701', '33704')",1,33701,33704,580.973999899,580.973999899,inf
"('77354', '77355')",1,77354,77355,11366.7040203,11366.7040203,inf
"('66212', '66605')",1,66212,66605,106181.405148,106181.405148,inf
"('20165', '20785')",1,20165,20785,56897.4306617,56897.4306617,inf
"('78752', '78754')",1,78752,78754,6637.22440777,6637.22440777,inf
"('97301', '97351')",1,97301,97351,16166.4575543,16166.4575543,inf
"('42071', '55744')",1,42071,55744,578472.933878,578472.933878,inf
"('14613', '92131')",1,14613,92131,4370412.3649,4370412.3649,inf
"('40958', '40977')",1,40958,40977,19550.276544,19550.276544,inf
"('33173', '33177')",1,33173,33177,5554.08257023,5554.08257023,inf
"('10468', '94523')",1,10468,94523,5355344.22639,5355344.22639,inf
"('77072', '91706')",1,77072,91706,2491173.50987,2491173.50987,inf
"('23508', '30252')",1,23508,30252,863465.135216,863465.135216,inf
"('93033', '95610')",1,93033,95610,348359.953884,348359.953884,inf
"('27909', '27921')",1,27909,27921,9140.76516174,9140.76516174,inf
"('32164', '90058')",1,32164,90058,4110284.52471,4110284.52471,inf
"('30707', '60201')",1,30707,60201,263523.474387,263523.474387,inf
"('32643', '90301')",1,32643,90301,3970713.84849,3970713.84849,inf
"('48234', '90058')",1,48234,90058,3904644.20965,3904644.20965,inf
